ID,Nome,Marca,Expositor,Categoria,Valor,Ficha Técnica,Foto
31,SHOUT POWERFUL ASSIST 25PA,GRUPO WAKOKU / FLÓRIDA MARINE,SHOUT,Acessórios de pesca,134.0,"O assist hook mais forte do mercado! Este assist hook é ideal para pescaria de grandes exemplares com metal jig. Ele é feito com dois anzóis, solid ring, pernadas curtas e trançadas feitas com linha PE extremamente forte. Uma das vantagens deste acessório é proporcionar uma fisgada melhor e uma conexão mais forte entre a isca e o peixe. Esta montagem facilita a liberação dos peixes, evita estragar a isca (arranha menos). Vale ressaltar que são usados os famosos anzóis Kudako, que possuem formato similar ao live bait. O olho é levemente voltado para cima, garantindo um melhor ângulo e abertura para fisgada; ponta mais alongada; farpa pequena, mas de tamanho perfeito para evitar que o peixe escape; além de ser extremamente reforçado, não perder a afiação e nem oxidar.",static/uploads/SHOUT.JPG
32,TACKLE POUCH,GRUPO WAKOKU / FLÓRIDA MARINE,JACKALL,Acessórios de pesca,330.0,"Maior praticidade para levar sua tralha! Esta é uma bolsa bastante prática para levar pacotes de iscas softs, acessórios como alicates, entre outros. Um dos destaques é ser feito com material à prova d'água (não tem zíper selado).",static/uploads/TACKLE_POUCH.JPG
33,ANZOL WRM959 WIDE GAP OFFSET HEAVY DUTY HOOK,GRUPO WAKOKU / FLÓRIDA MARINE,HAYABUSA,Acessórios de pesca,48.0,"Anzol reforçado para tirar o predador do meio da estrutura! Os anzóis da categoria EWG (Extra Wide Gap) possuem uma haste curva, criando um espaço maior entre ela e a ponta. Ideal para artificiais volumosas como criaturas, shads e craws. O diferencial do WRM959 é sua curva ampla e arame de diâmetro grosso, ideal para tirar o predador de dentro das estruturas sem risco de abrir. Feito com aço carbono de alta qualidade e recebe o tratamento NRB (Non Reflective Black) Fluorine Coating, proporcionando até 20% mais eficiência nas fisgadas.",static/uploads/WRM959.JPG
34,ANZOL BRUTAL LASTREADO,GRUPO WAKOKU / FLÓRIDA MARINE,RYUGI,Acessórios de pesca,17.0,Para fisgar os grandes predadores! A série Heavy Weighted Brutal foi desenvolvida pela Ryugi no Japão com a mais alta tecnologia para pescadores exigentes. Produzida com aço carbono de primeira linha e pontas tratadas quimicamente para máxima perfuração e resistência.,static/uploads/LASTREADO.JPG
35,ANZOL SNOOK HOOK STRONG,GRUPO WAKOKU / FLÓRIDA MARINE,SASAME,Acessórios de pesca,17.0,"O anzol preferido nos pesqueiros! Desenvolvido em sintonia com o mercado brasileiro, o Snook Hook é mais reforçado e praticamente único na categoria. Feito com aço carbono extremamente forte e afiado quimicamente, garante fisgadas certeiras sem deformar durante a briga. Possui acabamento black níquel para não espantar os peixes e é indicado para iscas vivas (camarão e pequenos peixes) e pescarias em pesqueiros.",static/uploads/SNOOK_HOOK.JPG
36,ORGANIZADOR MAJOR STOCK,GRUPO WAKOKU / FLÓRIDA MARINE,MAJOR CRAFT,Acessórios de pesca,210.0,"Anzóis, assists e spinnerbaits organizados! Este acessório da Major Craft ajuda a manter sua tralha mais organizada. Feito com material reforçado, fechamento em velcro e possui 10 divisórias com fecho tipo zip lock, permitindo armazenar os pacotes inteiros de anzóis e suas cartelas para fácil identificação.",static/uploads/MAJOR_STOCK.JPG
37,CAIXA DE PESCA DOCUTTE 4300,GRUPO WAKOKU / FLÓRIDA MARINE,RINGSTAR,Acessórios de pesca,480.0,"A caixa de pesca definitiva! Feita com plástico utilizado na indústria automotiva para para-choques, a Docutte é extremamente resistente e possui amplo espaço interno. Conta com bandeja organizadora, tampa que pode ser aberta e fechada dos dois lados e ainda pode ser utilizada como banco. Ideal para pescarias no mar, pois protege o material contra respingos de água.",static/uploads/DOCUTTE.JPG
38,CORTADOR DE LINHA HEAT CUTTER II,GRUPO WAKOKU / FLÓRIDA MARINE,XBRAID,Acessórios de pesca,427.0,"Corte preciso em qualquer situação! Esse aparelho compacto, do tamanho de uma caneta, tem duas funções: cortar a linha e fazer acabamento do nó com precisão, mesmo em situações de vento. Pode ser carregado via USB e utilizado para todos os tipos de linhas (multi, nylon e fluorcarbono).",static/uploads/HEAT_CUTTER.JPG
39,ANEL SOLID + SPLIT ODZ OS-12,GRUPO WAKOKU / FLÓRIDA MARINE,ODZ,Acessórios de pesca,112.0,"Conexão extremamente forte! O combo Solid Ring com Split Ring da ODZ é um acessório fundamental para montagem de assist hooks, proporcionando facilidade na troca de iscas e uma incrível resistência. Além da pesca vertical, também vem sendo utilizado na pesca de água doce, como a de tucunaré-açu.",static/uploads/OS_12.JPG
40,D-FENSE PRO AMBIENTE,HAXEA,IPANEMA INDÚSTRIA DE PRODUTOS VETERINÁRIOS LTDA.,Acessórios de pesca,42.0,"Inseticida inovador! Com fórmula exclusiva, D-Fense Pro Ambiente é um inseticida de microdose para ambientes. Ao acionar a válvula, libera micropartículas que se espalham rapidamente pelo ar, eliminando mosquitos e insetos. Indicado contra mosquitos Aedes aegypti, Anopheles aquasalis, Culex quinquefasciatus, além de moscas domésticas, baratas e formigas doceiras.",static/uploads/D-FENSE-A.JPG
41,D-FENSE PRO TECIDOS,HAXEA,IPANEMA INDÚSTRIA DE PRODUTOS VETERINÁRIOS LTDA.,Acessórios de pesca,69.0,"Repelente para tecidos! D-Fense Pro Tecidos é aplicado diretamente em roupas e tecidos em geral. Indicado para repelir insetos como Aedes aegypti (dengue, zika, chikungunya e febre amarela), Culex quinquefasciatus (muriçoca) e Anopheles aquasalis (malária).",static/uploads/D-FENSE-T.JPG
42,SUPORTE PARA VARA SEA HORSE,HP MOTONÁUTICA,"HP PESCA, MOTO, NÁUTICA",Acessórios de pesca,69.0,"Super novidade no Pesca e Companhia Trade Show 2025! Guarde suas varas com sofisticação, organização e tranquilidade. Suporte fixo de parede para guardar varas, resistente à água, com molas em aço inox e acabamento premium. Totalmente emborrachado para evitar danos às varas. Capacidade: até 6 varas. Medidas: 30cm(C) x 5cm(A) x 3cm(L).",static/uploads/VARA_SEA_HORSE.JPG
43,JACK PLATE MECÂNICO 300HP,MORO DECONTO/FUJI,DECONTO NÁUTICA,Acessórios náuticos,6025.8,"Novo Jack Plate Mecânico 300HP da Deconto Náutica, a peça que faltava para sua navegação de alta performance. Ajuste fácil e preciso, proporcionando mais velocidade e economia para sua embarcação. Disponível em tamanhos de 6"", 8"" e 10"" polegadas.",static/uploads/300HP.JPG
44,COLETE SALVA VIDA - TIPO BOIA DE BRAÇO - MOD BABYA,RIOS E MARES,SBS BRASIL SUL SALVATAGEM LTDA - RIOS E MARES,Acessórios náuticos,115.0,"Colete salva-vidas homologado pela Marinha do Brasil, Classe V, com estampa exclusiva para identificar crianças no espectro autista. Indicado para crianças de 15 a 25 kg. Confeccionado em tecido poliamida, com tirantes em polipropileno 40mm, enchimento em polietileno de células fechadas 6mm e fecho em poliacetal 40mm.",static/uploads/BABYA.JPG
45,COLETES SALVA VIDAS - TIPO JALECO - MOD HSLA,RIOS E MARES,SBS BRASIL SUL SALVATAGEM LTDA - RIOS E MARES,Acessórios náuticos,145.0,"Coletes salva-vidas homologados pela Marinha do Brasil, Classe V, com estampa exclusiva para identificar pessoas no espectro autista. Disponível nos tamanhos PP, P, M, G e EG. Confeccionado em tecido poliéster, vivo em polipropileno, tirantes em polipropileno 25mm, enchimento em polietileno de células fechadas 6mm e fechos em poliacetal 25mm.",static/uploads/HSLA.JPG
46,CARRETILHA KAYMAN,ALBATROZ,ALBATROZ FISHING,Carretilha,0.0,Material: carbono e alumínio. Rolamentos: 6+1. Recolhimento: 8.1:1. Drag: 8kg (3 discos de carbono + 2 de aço inox + 1 de duralumínio). Peso aproximado: 156g. Capacidade de linha (mm/m): 0.14/200 - 0.24/130. Guia fio triangular em nitreto e titânio. Freio magnético. Corpo e carretel em alumínio reforçado. Estrela de fricção e tampa lateral em fibra de carbono.,static/uploads/KAYMAN.JPG
47,CARRETILHA SEVIIN ST CROIX GF SERIES,AQUABRAZIL,SEVIIN - ST. CROIX,Carretilha,1288.0,"Carretilha Seviin GF Series com 5 rolamentos (4+1) de aço inox. Coroa e pinhão em latão. Chassi e tampa de peça única em grafite. Manivela de carbono. Carretel de alumínio. Drag (freio) de 15lbs (6,8 kg) com sistema Multi-Slack em fibra de carbono e aço inox. Gear ratio (velocidade) 8.1:1. Controle magnético de arremesso micro ajustável. Disco indicador de linha. Peso: 207g.",static/uploads/CROIX_GF.JPG
48,CARRETILHA SPEED DEMON ELITE,KASTKING,KASTKING,Carretilha,0.0,"A carretilha de pesca mais rápida do mercado! Velocidade de recolhimento: 10.5:1. Drag de 17,6lbs (8kg). Sistema de fricção multidiscos de carbono. Peso: 190g. Capacidade de linha: 150m de 0.25mm / 105m de 0.30mm. Engrenagem em alumínio 7075 aeroespacial super reforçado. Pinhão em latão com manganês de alta resistência. 10+1 rolamentos em aço inox. Guia de linha cônico revestido em cerâmica. Corpo em alumínio aeroespacial CNC. Freio centrífugo e controle de tensão do carretel.",static/uploads/DEMON_ELITE.JPG
49,VENATOR ACX,MARINE,MARINE,Carretilha,1149.0,Chassi em alumínio e laterais em carbono. Pinhão em latão apoiado por rolamento. Coroa em duralumínio. Guia de linha revestido em titânio com 2 estágios. Botões de ajuste e estrela ponto a ponto. Sistema de controle de arremesso Maglev. 10+1 rolamentos. Velocidade de recolhimento: 8.3:1. IPT 88cm. Hook holder. Sinal sonoro de saída de linha. Drag 7kg.,static/uploads/VENATOR-ACX.JPG
50,LANCHA NAVIS 650X,BARCOS RONDON,BARCOS E CARRETAS RONDON,Embarcação / Caiaque,115800.0,Capacidade de carga: 550 kg. Número de tripulantes: 1. Número de passageiros: 6. Peso aproximado: 600 kg. Motorização: 175 - 300 HP. Comprimento: 6.50m. Boca máxima: 2.30m. Pontal: 0.78m. Calado: 0.15m. Espessura do costado: 2.0mm. Espessura do casco: 3.0mm.,static/uploads/650X.JPG
51,ROVERCAT 190,MURANO,MURANO YACHTS,Embarcação / Caiaque,189900.0,"Lancha com casco catamarã monomotor de 19 pés, fabricada em fibra de vidro. A única lancha na sua categoria desenvolvida especialmente para pesca. Conta com caixas de peixe, caixas de isca viva, circulação 360º e console central. Ideal para pesca, mergulho e lazer no mar, rios e represas.",static/uploads/ROVERCAT.JPG
52,CAMA DOBRÁVEL ZDC-182,ALBATROZ,ALBATROZ FISHING,Esporte Outdoor e Camping / Cutelaria,450.0,"Dobravel e extremamente fácil de montar. Tecido reforçado em Oxford 6000. Peso do produto: 3,6kg. Distância do chão do assento: 30cm. Dimensões: 182x60cm. Material: Tecido Oxford 600D, ferro, polietileno. Resistência: 150kg. Tubo: 25mm de espessura.",static/uploads/ZDC-182.JPG
53,CANIVETE CIMO COLOMBO INOX CABO FIBRA CARB C/CLIP,CIMO,CUTELARIA CIMO,Esporte Outdoor e Camping / Cutelaria,147.9,"Canivete Colombo com lâmina de aço inox 420C resistente de 2,5mm. Perfil Clip Point. Acabamento Stone Washed, produzido por um moderno processo de corte a laser, garantindo beleza única e resistência incomparável.",static/uploads/FIBRA-CARB.JPG
54,FOGAREIRO DESMONTÁVEL CIMO INOXFIRE 12 COM BAG VDE,CIMO,CUTELARIA CIMO,Esporte Outdoor e Camping / Cutelaria,90.59,"Material premium: fabricado em aço inox de alta qualidade, garantindo durabilidade e resistência. Leve e compacto: pesa apenas 528g, sendo fácil de transportar. Dimensões quando montado: 13,2 x 14,0 x 15,5 cm. Acompanha bolsa de transporte robusta de nylon 600.",static/uploads/INOXFIRE.JPG
55,CONJUNTO CIMO TRAVEL VERDE POINT CLEAVER - DUPLO,CIMO,CUTELARIA CIMO,Esporte Outdoor e Camping / Cutelaria,108.65,"Kit de transporte exclusivo fabricado em nylon 600. Tábua Slim em Jatobá, cortada por processo computadorizado, sem emendas. Faca Cleaver de alto desempenho com acabamento Stone Washed. Garfo multifuncional com abridor de garrafas embutido. Design leve, elegante e intuitivo.",static/uploads/CLEAVER.JPG
56,CHURRASQUEIRA DESMONTÁVEL CIMO INOX TRAVEL COM BAG,CIMO,CUTELARIA CIMO,Esporte Outdoor e Camping / Cutelaria,578.64,"Peso: 3,4 kg. Dimensões: largura 32 cm, comprimento 23 cm, altura 18 cm. Área de grelha: 30 x 21,5 cm. Material: aço inox 100%. Potência: 8500 BTU/H. Sistema de válvula de segurança e rosca EN 417:2012.",static/uploads/INOX-TRAVEL.JPG
57,LEATHERMAN ARC,CROSSTER,LEATHERMAN,Esporte Outdoor e Camping / Cutelaria,2421.71,"Primeira multiferramenta a incluir o aço premium Magnacut. Lâmina principal feita de aço CPM Magnacut, garantindo resistência e durabilidade. Conta com 20 ferramentas, incluindo alicate, chave de fenda, abridor de garrafa, cortadores de fio substituíveis, tesoura e serra.",static/uploads/LEATHERMAN.JPG
58,LAREIRA / CHURRASQUEIRA MULTI-FUNCIONAL PETROMAX ATAGO,CROSSTER,PETROMAX,Esporte Outdoor e Camping / Cutelaria,2096.21,"Design compacto e portátil. Combina grelha, fogão, forno e lareira/fire-pit. Compatível com carvão, briquetes e lenha. Aquece eficientemente pelo 'efeito chaminé'. Produz fogo com pouca fumaça devido ao design de parede dupla e sistema de combustão secundária.",static/uploads/PETROMAX.JPG
59,BARRACA SEA TO SUMMIT IKOS LIGHTWEIGHT TR2,CROSSTER,SEA TO SUMMIT,Esporte Outdoor e Camping / Cutelaria,3634.43,"Barraca para duas pessoas com arquitetura Tension Ridge, maximizando espaço e ventilação. Controle de fluxo de ar para minimizar umidade e condensação. Opções de montagem adaptáveis ao clima e atividade. Sobre-teto montável primeiro para manter o interior seco.",static/uploads/TR2.JPG
60,PANELA DOBRÁVEL SEA TO SUMMIT FRONTIER UL COLLAPSIBLE POURING POT 2L AZUL,CROSSTER,SEA TO SUMMIT,Esporte Outdoor e Camping / Cutelaria,603.56,"Design colapsável que economiza espaço. Expande-se para uma panela de 2,2L. Base em alumínio liga leve de anodização dura. Cabo Click-Safe para manuseio seguro. Tecnologia LidKeep permite prender a tampa na lateral da panela.",static/uploads/COLLAPSIBLE.JPG
61,CHALEIRA COLAPSÁVEL SEA TO SUMMIT FRONTIER ULTRALIGHT,CROSSTER,SEA TO SUMMIT,Esporte Outdoor e Camping / Cutelaria,458.48,"Chaleira colapsável ultraleve com capacidade de 1,1L. Pode ser usada como panela pequena. Base e tampa em alumínio anodizado com pegador de silicone. Alças duplas de nylon reforçado com fibra de vidro. Leve, durável e resistente.",static/uploads/ULTRALIGHT.JPG
62,HOLOFOTE PORTÁTIL LEDLENSER AF4R WORK,CROSSTER,LEDLENSER,Esporte Outdoor e Camping / Cutelaria,1515.89,Refletor de alta potência com 2000 lumens. Cinco níveis de brilho e luz ajustável. Tecnologia Multi-Concentrated Light para iluminação eficiente. Corpo em alumínio robusto com proteção IP67 contra água e poeira. Compatível com Bluetooth.,static/uploads/LEDLENSER.JPG
63,LAMPIÃO LED FEUERHAND BABY SPECIAL 276 AZUL,CROSSTER,FEUERHAND,Esporte Outdoor e Camping / Cutelaria,707.72,Lanterna LED Feuerhand com visual atemporal. LED branco quente com fluxo luminoso de 150 LM. Iluminação ajustável de 2 a 150 LM. Autonomia de até 18 dias. Versátil para uso interno e externo. Fabricado na Alemanha.,static/uploads/FEUERHAND.JPG
64,COOLER BOX THERMO PREMIUM 20 LITROS - SEA HORSE,HP MOTONÁUTICA,"HP PESCA, MOTO, NÁUTICA",Esporte Outdoor e Camping / Cutelaria,669.0,"Cooler Box Thermo-Premium Sea Horse com isolamento térmico extra. Resfriamento eficiente por até 72 horas. Resistente ao transporte diário, impermeável e de alta durabilidade. Material: Nylon + TPU + Laprene Expandido. Capacidade: 20 litros.",static/uploads/COOLER-BOX.JPG
66,FOGAREIRO SLIM DOBRÁVEL AZUL A GÁS,KALA,KALA,Esporte Outdoor e Camping / Cutelaria,319.9,"Fogareiro compacto ideal para acampamentos e piqueniques. Potente queimador a gás com 2.600 W de potência. Dimensões aberto: 275 x 325 x 100 mm, fechado: 250 x 83 x 110 mm. Possui ignição automática e ajuste fino de chama.",static/uploads/FOGAREIRO.JPG
67,BARRACA NÔMADE 4/5 PESSOAS,KALA,KALA,Esporte Outdoor e Camping / Cutelaria,859.9,"Barraca para até 5 pessoas com estrutura reforçada. Dimensões: 2,35m x 2,35m x 1,45m. Material de alta qualidade e durabilidade. Leve, fácil de montar e transportar.",static/uploads/BARRACA.JPG
68,TÁBUA DE CORTE E SERVIR DUPLA FACE | TUCUNA,SOFTCUT,SOFTCUT,Esporte Outdoor e Camping / Cutelaria,199.0,Tábua de corte inspirada em peixes icônicos. Feita 100% de polietileno puro e atóxico. Superfície higiênica que não absorve odores. Microtextura inovadora para melhor aderência de alimentos.,static/uploads/TUCUNA.JPG
69,ISCA WILLY SHAD,ALBATROZ,ALBATROZ FISHING,Isca de Corpo Rígido,36.0,"Modelo Floating, profundidade fundo. Dimensões: 4cm, peso: 2,5g. Ideal para pesca esportiva.",static/uploads/WILLY.JPG
70,ISCA REBEL JUMPIN MINNOW T20 ARARI,AQUABRAZIL,REBEL,Isca de Corpo Rígido,108.5,"Isca artificial Rebel de 11,5 cm e 23g. Anzol número 2. Indicado para pesca de tucunarés, dourados e cachorras.",static/uploads/MINNOW.JPG
71,ISCA REBEL TWICH TEENY WAKE R - T91,AQUABRAZIL,REBEL,Isca de Corpo Rígido,75.8,"Isca Rebel de 4 cm e 4,5g. Anzol número 12. Desenvolvida para tilápia, black bass e pacu.",static/uploads/TEENY.JPG
72,TEE BONE,GRUPO WAKOKU / FLÓRIDA MARINE,KEITECH,Isca de Corpo Rígido,150.0,Spinnerbait de alta performance. Design aerodinâmico para longos arremessos. Anzol reforçado e lâmina super sensível.,static/uploads/TEE-BONE.JPG
73,PL 100 SPLASH,GRUPO WAKOKU / FLÓRIDA MARINE,BABYFACE,Isca de Corpo Rígido,148.0,Jumping bait de 11cm e 22g. Movimentos em ziguezague e saltos na água. Silent (sem rattling) para ação mais natural.,static/uploads/PL100.JPG
74,CHUBBLE 80,GRUPO WAKOKU / FLÓRIDA MARINE,JACKALL,Isca de Corpo Rígido,190.5,Híbrido de crankbait e jerkbait. Sistema de transferência de peso magnético. Equipada com barbela de circuit board lip.,static/uploads/CHUBBLE.JPG
75,SHINDY 110,GRUPO WAKOKU / FLÓRIDA MARINE,REVONIK,Isca de Corpo Rígido,340.0,"Jerkbait com flutuação lenta e troca de barbela. Alcance de profundidade ajustável entre 30 cm e 1,5m.",static/uploads/SHINDY.JPG
76,TYGAN 110,GRUPO WAKOKU / FLÓRIDA MARINE,FISH MAGNET,Isca de Corpo Rígido,380.0,Desenvolvida pelo pescador japonês Takuma Hata. Desenho aerodinâmico para longos arremessos. Corpo volumoso e acabamento premium.,static/uploads/TYGAN.JPG
77,KICKNOCKER,GRUPO WAKOKU / FLÓRIDA MARINE,TECKLE,Isca de Corpo Rígido,250.0,Zara refinada com câmara de chocalho para ação errática. Esfera traseira que melhora arremesso e estabilidade.,static/uploads/KICKNOCKER.JPG
78,LAKER,ISCAS LORI,LORI,Isca de Corpo Rígido,48.0,Isca sinking de 55mm e 6g. Inspirada em iscas japonesas para espécies brasileiras.,static/uploads/LAKER.JPG
79,ENCRENCA SPIN,ISCAS YARA,YARA ISCAS ARTIFICIAIS,Isca de Corpo Rígido,69.9,Isca tipo Spin com colher giratória. Fabricada em ABS de alta resistência. Disponível nos tamanhos 7cm / 17g e 9cm / 29g.,static/uploads/ENCRENCA.JPG
80,INVADER 110 MR,MARINE,MARINE,Isca de Corpo Rígido,55.0,"Minnow meia água Floating e Suspending. Profundidade de nado entre 0,8m e 2,0m. Equipada com 3 garatéias Sanken 4X.",static/uploads/INVADER.JPG
81,BELLY DANCER,MORO DECONTO/FUJI,DECONTO ISCAS ARTIFICIAIS,Isca de Corpo Rígido,79.9,Jerkbait compacta com ação atrativa. Equipada com split rings de inox e garatéias Hogan.,static/uploads/BELLY.JPG
82,ISCA HB 230,SAHARA,SAHARA,Isca de Corpo Rígido,27.0,"Isca artificial meia água, 12,8 cm e 30g. Disponível em 5 cores. Alto desempenho na pesca esportiva.",static/uploads/HB230.JPG
83,SLIDE ACTOR,GRUPO WAKOKU / FLÓRIDA MARINE,SHOUT,Isca para Água Salgada,140.0,Jumping Jig de corpo alongado e achatado. Formato assimétrico que permite afundamento rápido e movimentos amplos em ziguezague. Indicado para predadores como Olhetes e Olhos-de-boi.,static/uploads/SLIDE.JPG
84,FEED POPPER 150,GRUPO WAKOKU / FLÓRIDA MARINE,TACKLE HOUSE,Isca para Água Salgada,312.0,Popper diferenciado que produz barulho característico. Desenho da boca cria sons de estalo e rastros de bolhas. Ideal para locais de água agitada. Equipada com garatéias Owner.,static/uploads/POPPER.JPG
85,JACK EYE MAKI MAKI FS 417,GRUPO WAKOKU / FLÓRIDA MARINE,HAYABUSA,Isca para Água Salgada,120.0,"Metal jig versátil com colher de metal na garatéia, gerando vibração e brilho atrativo. Pode ser usado no arremesso e recolhimento ou na vertical.",static/uploads/MAKI.JPG
86,BANETT 160F,GRUPO WAKOKU / FLÓRIDA MARINE,IMA,Isca para Água Salgada,324.0,"Artificial tipo Pencil de 16 cm e 43g. Excelente para arremessos longos. Trabalha em ziguezague logo abaixo da superfície. Indicado para Olhetes, Olhos-de-boi e Atum.",static/uploads/BANETT.JPG
87,CIAN POPPER ROAR 200F,GRUPO WAKOKU / FLÓRIDA MARINE,JACKALL,Isca para Água Salgada,522.0,"Popper para espécies marinhas. Design moderno, fácil de trabalhar. Produz som intenso e rastro de bolhas. Alcance de longas distâncias devido ao formato traseiro mais pesado.",static/uploads/CIAN.JPG
88,VENNON,MARINE,MARINE,Isca para Água Salgada,55.0,"Isca de superfície Zara Floating, disponível nos tamanhos 90mm (15g) e 115mm (25g). Equipado com garatéias reforçadas, ideal para Anchova, Xaréu, Olhete e Robalo.",static/uploads/VENNON.JPG
89,POPAI ULTIMATE SERIES,MORO DECONTO/FUJI,DECONTO ISCAS ARTIFICIAIS,Isca para Água Salgada,113.8,"Popper robusto para pesca de grandes exemplares. Corpo em plástico ABS reforçado, garatéias Extreme 6X 1/0. Disponível em 9 e 11 cm.",static/uploads/POPAI.JPG
90,ISCA CHARUTINHO,ALLIGATOR,ALLIGATOR,Isca Soft,2.4,"Isca para pesca de Traíras e outros predadores. Nado em Zara na superfície, meia água e fundo. Tamanho 5,8 cm, peso 9g, disponível em mais de 100 cores.",static/uploads/CHARUTINHO.JPG
91,ISCA SOFT DROP MINNOW GREAT LAKES FINESSE,AQUABRAZIL,GREAT LAKES FINESSE,Isca Soft,88.9,"Isca soft com acabamento fosco e flutuabilidade neutra. Ideal para Black Bass e Traíras. Técnicas recomendadas: Drop Shot, Underspin Trailer, Moping, Spine Rig e Ned.",static/uploads/FINESSE.JPG
